artist,album,track_n,line,lyric,track_title
Taylor Swift,Taylor Swift,8,38,You're really gonna be someone,Stay Beautiful
Taylor Swift,Taylor Swift,8,39,Ask anyone,Stay Beautiful
Taylor Swift,Taylor Swift,8,40,And when you find everything you looked for,Stay Beautiful
Taylor Swift,Taylor Swift,8,41,I hope your life will lead you back to my front door,Stay Beautiful
Taylor Swift,Taylor Swift,8,42,"Oh, but if it don't",Stay Beautiful
Taylor Swift,Taylor Swift,8,43,Will you stay,Stay Beautiful
Taylor Swift,Taylor Swift,8,44,"Beautiful, beautiful, beautiful?",Stay Beautiful
Taylor Swift,Taylor Swift,8,45,"Beautiful, beautiful, beautiful?",Stay Beautiful
Taylor Swift,Taylor Swift,8,46,La la la,Stay Beautiful
Taylor Swift,Taylor Swift,8,47,"Oh, oh, oh, oh",Stay Beautiful
Taylor Swift,Taylor Swift,8,48,"Oh, but if it don't",Stay Beautiful
Taylor Swift,Taylor Swift,8,49,Stay beautiful,Stay Beautiful
Taylor Swift,Taylor Swift,8,50,Stay beautiful,Stay Beautiful
Taylor Swift,Taylor Swift,8,51,"Na, na, na, na, na",Stay Beautiful
Taylor Swift,Taylor Swift,9,1,It's strange to think the songs we used to sing,Should've Said No
Taylor Swift,Taylor Swift,9,2,"The smiles, the flowers, everything is gone",Should've Said No
Taylor Swift,Taylor Swift,9,3,Yesterday I found out about you,Should've Said No
Taylor Swift,Taylor Swift,9,4,Even now just looking at you: feels wrong,Should've Said No
Taylor Swift,Taylor Swift,9,5,"You say that you'd take it all back, given one chance",Should've Said No
Taylor Swift,Taylor Swift,9,6,"It was a moment of weakness and you said, ""Yes""",Should've Said No
Taylor Swift,Taylor Swift,9,7,"You should've said, ""No""",Should've Said No
Taylor Swift,Taylor Swift,9,8,You should've gone home,Should've Said No
Taylor Swift,Taylor Swift,9,9,You should've thought twice 'fore you let it all go,Should've Said No
Taylor Swift,Taylor Swift,9,10,"You should've known that word, 'bout what you did with her'd",Should've Said No
Taylor Swift,Taylor Swift,9,11,Get back to me (Get back to me),Should've Said No
Taylor Swift,Taylor Swift,9,12,"And I should've been there, in the back of your mind",Should've Said No
Taylor Swift,Taylor Swift,9,13,"I shouldn't be asking myself, ""Why?""",Should've Said No
Taylor Swift,Taylor Swift,9,14,You shouldn't be begging for forgiveness at my feet,Should've Said No
Taylor Swift,Taylor Swift,9,15,"You should've said no, baby, and you might still have me",Should've Said No
Taylor Swift,Taylor Swift,9,16,You can see that I've been crying,Should've Said No
Taylor Swift,Taylor Swift,9,17,"Baby, you know all the right things to say",Should've Said No
Taylor Swift,Taylor Swift,9,18,But do you honestly expect me to believe,Should've Said No
Taylor Swift,Taylor Swift,9,19,We could ever be the same?,Should've Said No
Taylor Swift,Taylor Swift,9,20,"You say that the past is the past, you need one chance",Should've Said No
Taylor Swift,Taylor Swift,9,21,"It was a moment of weakness and you said, ""Yes""",Should've Said No
Taylor Swift,Taylor Swift,9,22,"You should've said, ""No""",Should've Said No
Taylor Swift,Taylor Swift,9,23,You should've gone home,Should've Said No
Taylor Swift,Taylor Swift,9,24,You should've thought twice 'fore you let it all go,Should've Said No
Taylor Swift,Taylor Swift,9,25,"You should've known that word, 'bout what you did with her'd",Should've Said No
Taylor Swift,Taylor Swift,9,26,Get back to me (Get back to me),Should've Said No
Taylor Swift,Taylor Swift,9,27,"And I should've been there, in the back of your mind",Should've Said No
